id,web_name,team,team_name,position,total_points,goals_scored,assists,bonus,clean_sheets,minutes,draft_rank,selected_by_percent,now_cost
388,C.Jones,12,LIV,MID,81,1,3,6,3,1923,220,0.1,5.4
389,Elliott,2,AVL,MID,5,0,0,0,0,110,198,0.2,5.1
390,Gravenberch,12,LIV,MID,144,5,5,17,9,2991,222,3.7,5.4
391,Gannon-Doak,4,BOU,MID,11,0,1,0,0,105,385,0.0,4.8
392,Endo,12,LIV,MID,12,0,1,0,1,170,345,0.1,4.9
393,Bajcetic,12,LIV,MID,0,0,0,0,0,0,637,0.2,4.2
394,McConnell,12,LIV,MID,0,0,0,0,0,0,667,0.0,4.4
395,Morton,12,LIV,MID,0,0,0,0,0,0,664,0.0,4.5
396,Nyoni,12,LIV,MID,6,0,0,0,0,21,639,0.3,4.3
397,Darwin,12,LIV,FWD,0,0,0,0,0,0,57,0.1,6.5
398,Danns,12,LIV,FWD,0,0,0,0,0,0,565,0.1,4.3
399,Ederson M.,13,MCI,GKP,0,0,0,0,0,0,152,0.8,5.3
400,Ortega Moreno,16,NFO,GKP,11,0,0,0,1,270,289,0.2,4.7
401,Bettinelli,13,MCI,GKP,0,0,0,0,0,0,798,0.4,3.8
402,Aït-Nouri,13,MCI,DEF,60,0,2,9,5,971,87,4.1,5.7
403,Gvardiol,13,MCI,DEF,79,2,2,5,6,1370,90,3.2,5.8
404,Akanji,13,MCI,DEF,0,0,0,0,0,0,191,0.3,5.4
405,Aké,13,MCI,DEF,36,0,0,1,3,686,193,0.6,5.2
406,Khusanov,13,MCI,DEF,67,0,0,3,6,1427,205,0.7,5.4
407,Matheus N.,13,MCI,DEF,154,1,8,16,12,2861,184,2.9,5.3
408,Rúben,13,MCI,DEF,113,2,0,4,12,2139,168,3.1,5.5
409,Stones,13,MCI,DEF,16,0,0,0,1,436,196,0.6,5.4
410,Lewis,13,MCI,DEF,19,0,1,2,1,401,293,1.2,4.6
411,O'Reilly,13,MCI,DEF,160,5,4,10,14,2643,319,19.2,5.3
412,Vitor Reis,13,MCI,DEF,0,0,0,0,0,0,365,0.0,5.0
413,Marmoush,13,MCI,MID,56,3,3,5,4,691,10,2.9,8.3
414,Foden,13,MCI,MID,131,7,5,13,11,2078,16,7.8,8.0
415,Savinho,13,MCI,MID,43,1,2,1,3,817,43,0.4,6.9
416,Bernardo,13,MCI,MID,102,2,4,4,13,2869,72,0.7,6.2
417,Cherki,13,MCI,MID,135,4,13,16,8,1772,48,17.4,6.5
418,Doku,13,MCI,MID,120,5,8,15,8,1773,65,6.6,6.5
419,Grealish,9,EVE,MID,79,2,6,12,7,1627,77,5.6,6.3
420,Gündoğan,13,MCI,MID,0,0,0,0,0,0,76,0.1,6.3
421,Rodrigo,13,MCI,MID,69,1,1,6,5,1510,62,0.5,6.3
422,Kovačić,13,MCI,MID,9,0,1,0,0,125,120,0.0,5.8
423,N.Gonzalez,13,MCI,MID,63,1,0,1,7,1561,119,0.1,5.9
424,Bobb,10,FUL,MID,42,0,2,0,4,1030,208,0.2,5.1
425,Echeverri,13,MCI,MID,0,0,0,0,0,0,233,0.0,5.4
426,McAtee,16,NFO,MID,17,0,1,0,0,288,216,0.1,5.0
427,Reijnders,13,MCI,MID,92,5,3,6,7,1623,151,8.9,5.0
428,Nypan,13,MCI,MID,0,0,0,0,0,0,356,0.0,5.0
429,Phillips,13,MCI,MID,0,0,0,0,0,0,360,0.1,4.7
430,Haaland,13,MCI,FWD,239,27,8,43,13,2953,2,62.5,14.7
431,Bayindir,14,MUN,GKP,11,0,0,0,0,540,292,0.3,4.7
432,Onana,14,MUN,GKP,0,0,0,0,0,0,372,0.1,4.9
433,Harrison,14,MUN,GKP,0,0,0,0,0,0,815,0.0,4.0
434,Heaton,14,MUN,GKP,0,0,0,0,0,0,760,0.6,3.8
435,Mee,14,MUN,GKP,0,0,0,0,0,0,819,0.1,3.9
436,De Ligt,14,MUN,DEF,43,1,0,5,1,1170,284,1.8,4.9
437,Martinez,14,MUN,DEF,51,0,0,3,5,1229,297,0.4,4.8
438,Mazraoui,14,MUN,DEF,53,0,0,6,5,977,276,0.3,4.9
439,D.Leon,14,MUN,DEF,0,0,0,0,0,0,569,0.1,4.1
440,Dalot,14,MUN,DEF,111,1,6,9,7,2609,488,3.8,4.5
441,Dorgu,14,MUN,DEF,95,4,4,11,4,1440,495,2.4,4.1
442,Maguire,14,MUN,DEF,90,1,2,5,7,1649,521,1.7,4.4
443,Shaw,14,MUN,DEF,113,1,1,3,10,3220,578,1.1,4.5
444,Yoro,14,MUN,DEF,56,0,1,1,2,1730,506,1.2,4.1
445,Amass,14,MUN,DEF,0,0,0,0,0,0,770,0.1,4.0
446,Fredricson,14,MUN,DEF,1,0,0,0,0,2,808,0.2,3.7
447,Heaven,14,MUN,DEF,42,0,1,3,2,920,716,2.6,3.7
448,Malacia,14,MUN,DEF,3,0,0,0,0,15,751,0.6,3.7
449,B.Fernandes,14,MUN,MID,235,9,24,41,7,3065,7,48.0,10.4
450,Cunha,14,MUN,MID,143,10,4,14,8,2493,15,8.7,8.1
451,Rashford,14,MUN,MID,0,0,0,0,0,0,44,0.0,7.0
452,Amad,14,MUN,MID,91,2,5,7,6,2339,56,1.3,6.2
