id,web_name,team,team_name,position,total_points,goals_scored,assists,bonus,clean_sheets,minutes,draft_rank,selected_by_percent,now_cost
1,Raya,1,ARS,GKP,162,0,0,11,19,3330,134,36.4,6.2
2,Arrizabalaga,1,ARS,GKP,2,0,0,0,0,90,510,0.4,4.0
3,Hein,1,ARS,GKP,0,0,0,0,0,0,736,0.2,4.0
4,Setford,1,ARS,GKP,0,0,0,0,0,0,814,0.2,3.9
5,Gabriel,1,ARS,DEF,209,3,5,30,18,2750,88,45.4,7.3
6,Saliba,1,ARS,DEF,137,1,0,12,15,2614,93,17.1,6.3
7,Calafiori,1,ARS,DEF,109,1,2,6,13,1697,188,6.0,5.6
8,J.Timber,1,ARS,DEF,149,3,6,9,13,2452,164,15.2,6.0
9,Kiwior,1,ARS,DEF,0,0,0,0,0,0,226,0.0,5.4
10,Lewis-Skelly,1,ARS,DEF,29,0,0,0,2,697,147,1.9,5.0
11,White,1,ARS,DEF,45,0,1,3,5,699,182,0.5,5.1
12,Zinchenko,16,NFO,DEF,7,0,0,0,0,352,309,0.2,4.9
13,Clarke,1,ARS,DEF,0,0,0,0,0,0,731,0.5,3.7
14,Kacurri,1,ARS,DEF,0,0,0,0,0,0,776,0.1,3.9
15,Nichols,1,ARS,DEF,0,0,0,0,0,0,786,0.2,3.7
16,Saka,1,ARS,MID,157,7,10,18,12,2218,5,11.6,10.0
17,Ødegaard,1,ARS,MID,74,1,7,5,6,1363,17,1.7,7.8
18,Madueke,1,ARS,MID,72,3,1,9,8,1205,42,0.8,6.8
19,Martinelli,1,ARS,MID,57,1,5,3,2,1065,46,0.9,6.8
20,Trossard,1,ARS,MID,119,6,6,11,11,1997,45,1.8,6.6
21,Rice,1,ARS,MID,184,4,9,23,18,3093,51,23.3,7.2
22,Merino,1,ARS,MID,67,4,3,5,4,1024,105,0.7,5.3
23,Fábio Vieira,1,ARS,MID,0,0,0,0,0,0,237,0.0,5.4
24,Nørgaard,1,ARS,MID,7,0,0,0,0,101,181,0.1,5.1
25,Nwaneri,1,ARS,MID,8,0,0,0,1,165,185,0.1,5.0
26,Zubimendi,1,ARS,MID,133,5,1,9,16,2991,169,2.7,4.9
27,Nelson,5,BRE,MID,13,0,1,0,0,118,324,0.1,4.8
28,Kabia,1,ARS,MID,0,0,0,0,0,0,542,0.1,4.5
29,Sambi,1,ARS,MID,0,0,0,0,0,0,586,0.0,4.5
30,Havertz,1,ARS,FWD,36,2,3,3,4,577,27,0.7,7.3
31,G.Jesus,1,ARS,FWD,24,3,0,0,1,418,80,0.4,6.4
32,Martinez,2,AVL,GKP,120,0,1,11,7,2835,299,4.4,5.0
33,M.Bizot,2,AVL,GKP,16,0,0,0,1,585,549,0.4,4.2
34,Gauci,2,AVL,GKP,0,0,0,0,0,0,729,0.1,4.0
35,Marschall,2,AVL,GKP,0,0,0,0,0,0,784,0.0,4.0
36,Cash,2,AVL,DEF,117,3,3,7,8,3016,498,7.4,4.6
37,Digne,2,AVL,DEF,97,0,7,5,7,1842,500,1.5,4.5
38,Konsa,2,AVL,DEF,100,0,1,3,9,3035,471,7.0,4.4
39,Maatsen,2,AVL,DEF,54,0,1,1,2,1590,505,0.5,4.2
40,Mings,2,AVL,DEF,50,0,1,4,3,1322,535,0.6,4.3
41,Pau,2,AVL,DEF,64,0,2,2,5,1673,540,0.3,4.3
42,A.García,2,AVL,DEF,5,0,0,0,0,83,727,0.2,3.9
43,Alex Moreno,2,AVL,DEF,0,0,0,0,0,0,682,1.5,4.0
44,Bogarde,2,AVL,DEF,40,0,0,4,2,1042,772,0.5,4.0
45,Sousa,2,AVL,DEF,0,0,0,0,0,0,769,0.2,3.8
46,Yasin,2,AVL,DEF,0,0,0,0,0,0,766,0.1,4.0
47,Rogers,2,AVL,MID,169,10,8,17,9,3280,30,20.2,7.3
48,Tielemans,2,AVL,MID,68,0,4,3,4,1857,98,0.7,5.9
49,Bailey,2,AVL,MID,21,0,2,0,0,450,192,0.1,5.5
50,Buendía,2,AVL,MID,102,6,2,10,3,1753,235,0.4,5.3
51,Iling Jr,2,AVL,MID,0,0,0,0,0,0,236,0.0,5.5
52,J.Ramsey,15,NEW,MID,62,2,3,3,1,1441,183,0.3,5.3
53,Malen,2,AVL,MID,55,4,2,3,1,640,180,0.4,5.1
54,McGinn,2,AVL,MID,103,5,4,6,8,2136,186,0.7,5.3
55,Barkley,2,AVL,MID,56,3,2,5,1,844,307,0.1,4.8
56,Barrenechea,2,AVL,MID,0,0,0,0,0,0,386,0.0,5.0
57,Dobbin,2,AVL,MID,0,0,0,0,0,0,381,0.0,5.0
58,Kamara,2,AVL,MID,61,1,3,7,5,1410,321,0.2,4.9
59,Onana,2,AVL,MID,76,2,0,4,6,1755,270,0.6,4.8
60,Broggio,2,AVL,MID,0,0,0,0,0,0,562,0.2,4.4
61,Dendoncker,2,AVL,MID,0,0,0,0,0,0,536,0.1,4.5
62,Jimoh-Aloba,2,AVL,MID,1,0,0,0,0,8,646,0.1,4.5
63,Young,2,AVL,MID,0,0,0,0,0,0,523,0.5,4.3
64,Watkins,2,AVL,FWD,167,16,4,26,9,2833,6,13.0,8.7
65,Redmond,2,AVL,FWD,0,0,0,0,0,0,507,0.3,4.5
66,Neto,4,BOU,GKP,0,0,0,0,0,0,501,0.1,4.5
67,Petrović,4,BOU,GKP,124,0,0,5,11,3420,484,5.2,4.6
68,Dennis,4,BOU,GKP,0,0,0,0,0,0,734,0.7,4.0
69,McKenna,4,BOU,GKP,0,0,0,0,0,0,802,0.2,3.9
70,Paulsen,4,BOU,GKP,0,0,0,0,0,0,813,0.1,4.0
71,Zabarnyi,4,BOU,DEF,0,0,0,0,0,0,291,0.0,5.0
72,Senesi,4,BOU,DEF,175,0,6,14,11,3288,517,22.0,5.2
73,Smith,4,BOU,DEF,58,0,2,4,6,1073,588,0.2,4.4
74,Truffert,4,BOU,DEF,165,1,6,19,11,3378,493,5.3,4.8
75,Akinmboni,4,BOU,DEF,0,0,0,0,0,0,755,0.2,3.8
76,Bevan,4,BOU,DEF,0,0,0,0,0,0,744,0.2,3.8
77,Hill,4,BOU,DEF,110,0,3,4,8,2102,738,7.4,4.2
78,J.Araujo,4,BOU,DEF,0,0,0,0,0,0,723,0.5,3.8
79,Mepham,4,BOU,DEF,0,0,0,0,0,0,768,0.1,4.0
80,Soler,4,BOU,DEF,3,0,0,0,0,34,761,0.2,3.9
81,Kluivert,4,BOU,MID,41,2,0,3,4,945,34,0.6,6.9
82,Semenyo,13,MCI,MID,202,17,6,18,12,3200,32,46.2,8.0
83,O.Dango,5,BRE,MID,136,7,8,16,6,2271,112,1.6,5.6
84,Tavernier,4,BOU,MID,137,7,4,14,11,2732,189,4.2,5.3
85,Adams,4,BOU,MID,77,2,2,3,7,1769,320,0.3,4.9
86,Brooks,4,BOU,MID,59,1,3,4,5,1188,332,0.2,5.0
87,Christie,4,BOU,MID,47,2,1,2,3,978,305,0.1,4.9
88,Cook,4,BOU,MID,40,0,1,0,1,872,387,0.0,4.9
89,Philip,4,BOU,MID,0,0,0,0,0,0,348,0.0,4.9
90,Scott,4,BOU,MID,136,3,2,9,11,2848,336,2.1,4.9
91,Sinisterra,4,BOU,MID,0,0,0,0,0,0,308,0.0,5.0
92,Faivre,4,BOU,MID,0,0,0,0,0,0,541,0.1,4.5
93,H.Traorè,4,BOU,MID,4,0,1,0,0,16,551,0.3,4.5
94,Sadi,4,BOU,MID,0,0,0,0,0,0,641,0.0,4.5
95,Silcott-Duberry,4,BOU,MID,0,0,0,0,0,0,513,0.1,4.4
96,Winterburn,4,BOU,MID,1,0,0,0,0,6,632,0.0,4.5
97,Evanilson,4,BOU,FWD,115,6,7,6,11,2741,40,2.4,6.6
98,Enes Ünal,4,BOU,FWD,27,1,0,1,0,214,242,0.0,5.4
99,Adu-Adjei,4,BOU,FWD,0,0,0,0,0,0,529,0.1,4.4
100,Kroupi.Jr,4,BOU,FWD,113,13,0,13,10,1663,494,7.6,4.7
101,Kelleher,5,BRE,GKP,143,0,0,11,10,3330,400,12.0,4.8
102,Balcombe,5,BRE,GKP,0,0,0,0,0,0,764,0.2,3.9
103,Cox,5,BRE,GKP,0,0,0,0,0,0,801,0.1,3.9
104,Eyestone,5,BRE,GKP,0,0,0,0,0,0,822,0.1,3.9
105,Valdimarsson,5,BRE,GKP,1,0,0,0,0,90,717,1.0,3.8
106,Collins,5,BRE,DEF,129,1,2,7,9,2971,274,2.4,4.9
107,Lewis-Potter,5,BRE,DEF,115,3,4,5,9,1960,301,1.5,4.8
108,Ajer,5,BRE,DEF,76,0,2,1,5,1805,577,0.2,4.4
109,Henry,5,BRE,DEF,52,0,2,0,4,1322,573,0.1,4.3
110,Kayode,5,BRE,DEF,113,1,2,9,10,3258,525,1.0,4.6
111,Pinnock,5,BRE,DEF,14,0,0,2,1,318,553,0.1,4.2
112,Roerslev,5,BRE,DEF,0,0,0,0,0,0,627,0.0,4.5
113,Van den Berg,5,BRE,DEF,113,0,3,3,8,2761,537,1.0,4.4
114,Arthur,5,BRE,DEF,0,0,0,0,0,0,758,0.2,3.8
115,Fredrick,5,BRE,DEF,0,0,0,0,0,0,789,0.1,4.0
116,Hickey,5,BRE,DEF,37,0,0,0,2,679,725,0.3,4.0
117,Ji-soo,5,BRE,DEF,0,0,0,0,0,0,785,0.1,3.9
118,Meghoma,5,BRE,DEF,0,0,0,0,0,0,792,0.0,4.0
119,Mbeumo,14,MUN,MID,148,11,3,16,8,2611,14,15.0,8.3
120,Schade,5,BRE,MID,125,8,5,5,11,2744,41,1.3,6.8
121,Damsgaard,5,BRE,MID,113,4,4,9,5,2046,99,0.8,5.6
122,Milambo,5,BRE,MID,1,0,0,0,0,45,223,0.0,5.2
123,Carvalho,5,BRE,MID,13,1,0,1,0,100,302,0.1,4.6
124,Henderson,5,BRE,MID,76,1,3,5,6,1911,295,0.3,5.0
125,Janelt,5,BRE,MID,74,1,4,6,5,1434,326,0.1,4.9
126,Jensen,5,BRE,MID,98,3,2,1,9,2239,334,0.1,4.9
127,Nunes,5,BRE,MID,0,0,0,0,0,0,371,0.0,4.9
128,Onyeka,5,BRE,MID,12,0,2,0,0,88,379,0.0,4.8
129,Yarmoliuk,5,BRE,MID,104,1,3,1,8,2652,363,0.1,5.0
130,Donovan,5,BRE,MID,4,0,0,0,0,38,606,0.1,4.4
131,Konak,5,BRE,MID,0,0,0,0,0,0,590,0.1,4.3
132,Maghoma,5,BRE,MID,0,0,0,0,0,0,628,0.0,4.5
133,Peart-Harris,5,BRE,MID,1,0,0,0,0,1,653,0.0,4.4
134,Trevitt,5,BRE,MID,0,0,0,0,0,0,649,0.0,4.5
135,Wissa,15,NEW,FWD,27,1,1,0,1,517,22,0.6,7.3
136,Thiago,5,BRE,FWD,181,22,1,22,10,3282,107,30.2,7.2
137,Morgan,5,BRE,FWD,0,0,0,0,0,0,520,0.3,4.4
138,Steele,6,BHA,GKP,0,0,0,0,0,0,533,0.2,4.2
139,Verbruggen,6,BHA,GKP,130,0,0,6,10,3420,482,9.3,4.6
140,McGill,6,BHA,GKP,0,0,0,0,0,0,812,0.3,3.9
141,Rushworth,6,BHA,GKP,0,0,0,0,0,0,816,0.0,4.0
142,Scherpen,6,BHA,GKP,0,0,0,0,0,0,818,0.0,4.0
143,Boscagli,6,BHA,DEF,39,0,1,4,3,799,581,0.1,4.2
144,Coppola,6,BHA,DEF,10,0,0,0,1,193,603,0.0,4.2
145,De Cuyper,6,BHA,DEF,84,2,3,9,5,1404,480,1.7,4.3
146,Dunk,6,BHA,DEF,100,1,1,5,7,2837,511,1.0,4.5
147,Estupiñan,6,BHA,DEF,0,0,0,0,0,0,489,0.0,4.5
148,F.Kadıoğlu,6,BHA,DEF,118,1,2,7,10,3130,538,1.4,4.5
149,Igor,6,BHA,DEF,6,0,0,0,0,103,614,0.1,4.5
150,Lamptey,6,BHA,DEF,0,0,0,0,0,0,550,0.1,4.4
151,Van Hecke,6,BHA,DEF,148,3,3,8,10,3210,502,10.7,4.7
152,Veltman,6,BHA,DEF,46,1,0,1,2,1047,570,0.1,4.3
153,Webster,6,BHA,DEF,0,0,0,0,0,0,615,0.0,4.4
154,Cashin,6,BHA,DEF,0,0,0,0,0,0,765,0.0,4.0
155,Slater,6,BHA,DEF,0,0,0,0,0,0,791,0.1,4.0
156,Tasker,6,BHA,DEF,0,0,0,0,0,0,796,0.2,3.8
157,Mitoma,6,BHA,MID,62,3,1,2,5,1714,53,1.9,6.1
158,Georginio,6,BHA,MID,87,3,5,2,7,1776,108,0.3,5.6
159,March,6,BHA,MID,4,0,0,0,0,38,115,0.0,5.8
160,Minteh,6,BHA,MID,117,3,8,9,11,2389,104,2.5,5.5
161,Enciso,6,BHA,MID,0,0,0,0,0,0,201,0.0,5.4
162,Gruda,6,BHA,MID,35,1,1,2,2,708,211,0.0,5.4
163,Hinshelwood,6,BHA,MID,91,4,5,2,7,1736,200,1.6,5.2
164,O'Riley,6,BHA,MID,16,1,0,2,1,202,207,0.3,5.5
165,Sima,6,BHA,MID,0,0,0,0,0,0,238,0.0,5.4
166,Ayari,6,BHA,MID,98,3,4,7,6,1921,316,0.4,4.8
167,Baleba,6,BHA,MID,56,0,0,0,7,1646,262,1.5,4.5
168,Buonanotte,11,LEE,MID,3,0,0,0,0,81,304,0.1,4.6
169,Gomez,6,BHA,MID,97,5,1,9,8,2117,366,0.4,4.9
170,Milner,6,BHA,MID,35,1,1,0,2,772,338,0.1,4.9
171,Sarmiento,6,BHA,MID,0,0,0,0,0,0,377,0.0,4.9
172,Watson,6,BHA,MID,5,0,0,0,0,57,362,0.0,4.8
173,Wieffer,6,BHA,MID,94,2,4,6,6,1901,347,0.3,4.8
174,Yalcouye,6,BHA,MID,0,0,0,0,0,0,382,0.0,5.0
175,Knight,6,BHA,MID,1,0,0,0,0,1,616,0.1,4.4
176,Mazilu,6,BHA,MID,0,0,0,0,0,0,651,0.0,4.5
177,Moran,6,BHA,MID,0,0,0,0,0,0,644,0.0,4.5
178,Welbeck,6,BHA,FWD,126,13,1,18,10,2249,50,8.4,6.3
179,Ferguson,6,BHA,FWD,0,0,0,0,0,0,175,0.0,5.5
180,Tzimas,6,BHA,FWD,16,1,1,0,0,132,213,0.1,5.2
181,Kostoulas,6,BHA,FWD,35,2,1,3,1,351,278,0.3,4.8
182,Trafford,13,MCI,GKP,13,0,0,0,1,360,265,0.9,4.5
183,Weiss,3,BUR,GKP,7,0,0,0,0,270,599,0.2,4.2
184,Green,3,BUR,GKP,0,0,0,0,0,0,752,0.2,4.0
185,Hladký,3,BUR,GKP,0,0,0,0,0,0,749,0.1,3.9
186,Roberts,3,BUR,DEF,0,0,0,0,0,0,594,0.0,4.3
187,Walker,3,BUR,DEF,70,0,2,3,4,3095,491,1.2,4.4
188,Delcroix,3,BUR,DEF,0,0,0,0,0,0,741,0.2,3.8
189,Dodgson,3,BUR,DEF,0,0,0,0,0,0,771,0.0,4.0
190,Ekdal,3,BUR,DEF,52,0,0,2,2,1539,782,0.7,3.8
191,Estève,3,BUR,DEF,85,0,0,0,3,2933,706,7.0,3.8
192,Hartman,3,BUR,DEF,63,0,6,0,3,1825,754,0.6,4.0
193,Humphreys,3,BUR,DEF,47,0,2,1,2,1574,745,0.1,3.9
194,Jordan,3,BUR,DEF,0,0,0,0,0,0,788,0.1,3.9
195,Lucas Pires,3,BUR,DEF,25,0,0,0,1,1405,775,0.3,3.8
196,Sambo,3,BUR,DEF,0,0,0,0,0,0,800,0.0,4.0
197,Sonne,3,BUR,DEF,13,1,0,0,0,164,799,0.2,3.8
198,Tuanzebe,3,BUR,DEF,34,1,0,0,1,1201,713,0.9,3.9
199,Worrall,3,BUR,DEF,20,0,0,0,0,496,794,0.2,3.8
200,Anthony,3,BUR,MID,127,8,4,6,4,2717,210,2.4,5.0
201,Benson,3,BUR,MID,0,0,0,0,0,0,239,0.0,5.4
202,Bruun Larsen,3,BUR,MID,41,0,1,0,3,1014,229,0.0,5.2
203,Boateng,3,BUR,MID,0,0,0,0,0,0,358,0.0,4.7
204,Churlinov,3,BUR,MID,0,0,0,0,0,0,383,0.0,4.9
205,Cullen,3,BUR,MID,70,2,2,8,3,1513,352,0.8,4.9
206,Edwards,3,BUR,MID,51,1,3,2,1,1058,315,0.1,4.7
207,Hannibal,3,BUR,MID,59,1,5,4,2,1219,317,0.1,4.7
208,Koleosho,3,BUR,MID,0,0,0,0,0,0,354,0.0,5.0
209,Laurent,3,BUR,MID,56,1,0,1,2,1752,376,0.0,4.8
210,Tchaouna,3,BUR,MID,59,2,2,0,2,1259,380,0.0,4.8
211,A.Ramsey,3,BUR,MID,0,0,0,0,0,0,474,1.4,4.4
212,Adewumi,3,BUR,MID,0,0,0,0,0,0,635,0.0,4.5
213,Banel,3,BUR,MID,1,0,0,0,0,9,655,0.0,4.5
214,Trésor,3,BUR,MID,6,0,0,0,0,37,602,0.1,4.3
215,Flemming,3,BUR,FWD,99,11,0,11,3,1764,197,0.8,5.3
216,Amdouni,3,BUR,FWD,4,0,0,0,0,69,294,0.0,4.8
217,Foster,3,BUR,FWD,58,3,2,4,4,1361,300,0.7,4.9
218,Barnes,3,BUR,FWD,5,0,0,0,0,40,485,1.2,4.2
219,Obafemi,3,BUR,FWD,0,0,0,0,0,0,503,0.1,4.4
220,Sánchez,7,CHE,GKP,113,0,1,7,9,3040,252,10.3,4.8
221,Jörgensen,7,CHE,GKP,9,0,0,0,0,378,572,0.2,4.3
222,Penders,7,CHE,GKP,0,0,0,0,0,0,821,0.0,4.0
223,Slonina,7,CHE,GKP,0,0,0,0,0,0,826,0.1,3.8
224,Cucurella,7,CHE,DEF,104,1,4,5,9,2706,89,14.6,6.1
225,James,7,CHE,DEF,115,2,6,11,8,1957,150,6.0,5.6
226,Chalobah,7,CHE,DEF,136,3,1,7,9,2780,287,8.8,5.4
227,Colwill,7,CHE,DEF,8,0,0,0,0,225,259,0.2,4.7
228,Gusto,7,CHE,DEF,96,2,3,7,7,2255,268,1.7,4.8
229,B.Badiashile,7,CHE,DEF,7,0,0,0,0,470,612,0.0,4.4
230,Fofana,7,CHE,DEF,65,0,2,3,4,1718,567,0.4,4.4
231,M.Sarr,7,CHE,DEF,3,0,0,0,0,100,607,0.0,4.5
232,Tosin,7,CHE,DEF,34,0,0,2,2,788,531,0.3,4.0
233,Acheampong,7,CHE,DEF,39,1,0,5,2,657,777,1.8,3.7
234,Anselmino,7,CHE,DEF,0,0,0,0,0,0,806,0.1,4.0
235,Palmer,7,CHE,MID,114,10,2,11,3,1954,3,12.6,10.3
236,Neto,7,CHE,MID,125,5,7,9,11,2629,33,3.9,7.0
237,Enzo,7,CHE,MID,157,10,5,19,8,3114,55,12.3,6.5
238,Estêvão,7,CHE,MID,58,2,5,4,4,839,70,1.7,6.4
239,Gittens,7,CHE,MID,25,0,2,0,1,486,73,0.1,6.0
240,Nkunku,7,CHE,MID,0,0,0,0,0,0,114,0.1,5.9
241,Caicedo,7,CHE,MID,110,3,1,10,6,2796,145,7.1,5.7
242,Dewsbury-Hall,9,EVE,MID,151,8,7,18,8,2629,337,7.9,5.3
243,George,9,EVE,MID,16,0,0,0,1,351,353,0.1,4.8
244,Lavia,7,CHE,MID,13,0,0,0,0,374,330,0.0,4.9
245,Mudryk,7,CHE,MID,0,0,0,0,0,0,389,0.0,4.9
246,Andrey Santos,7,CHE,MID,47,1,0,3,1,1247,519,0.3,4.4
247,D.Essugo,7,CHE,MID,1,0,0,0,0,26,654,0.1,4.3
248,Paez,7,CHE,MID,0,0,0,0,0,0,633,0.0,4.5
249,João Pedro,7,CHE,FWD,177,15,9,30,10,2658,19,34.8,7.4
250,Delap,7,CHE,FWD,45,1,2,1,2,1092,54,0.9,6.2
251,N.Jackson,7,CHE,FWD,0,0,0,0,0,0,78,0.1,6.5
252,Marc Guiu,7,CHE,FWD,13,0,1,0,0,265,512,5.2,4.0
253,Henderson,8,CRY,GKP,131,0,0,7,11,3330,266,9.0,5.1
254,Benitez,8,CRY,GKP,7,0,0,0,1,90,747,0.3,3.9
255,Matthews,8,CRY,GKP,0,0,0,0,0,0,820,0.1,3.9
