,added,event,person,kind,result,index,position,player_in,player_out,player_in_points_scored_in_week,player_in_points_scored_after,player_out_points_scored_in_week,player_out_points_scored_after,net_points_of_trade,net_points_of_trade_per_week,net_points_of_trade_in_week,points_actually_scored,points_not_realised,net_points_banked
454,2025-03-12T10:42:16.808831Z,29,IR,waiver,unsuccessful - player in already been picked up,5.0,DEF,Murillo,Digne,1,29,0,14,15,1.5,1,0.0,29.0,-14.0
455,2025-03-12T10:42:16.808953Z,29,IR,waiver,unsuccessful - player out already gone,19.0,DEF,Khusanov,Digne,-1,-1,0,14,-15,-1.5,-1,-1.0,0.0,-15.0
456,2025-03-12T10:42:16.808909Z,29,IR,waiver,successful,8.0,DEF,Dalot,Digne,11,23,0,14,9,0.9,11,11.0,12.0,-3.0
457,2025-03-12T10:42:16.808938Z,29,IR,waiver,unsuccessful - player out already gone,18.0,DEF,Mazraoui,Digne,6,22,0,14,8,0.8,6,7.0,15.0,-7.0
458,2025-03-12T10:42:16.808876Z,29,IR,waiver,unsuccessful - player in already been picked up,6.0,DEF,Murillo,C.Richards,1,29,0,15,14,1.4,1,0.0,29.0,-15.0
459,2025-03-12T10:42:16.808924Z,29,IR,waiver,unsuccessful - player in already been picked up,17.0,DEF,Dalot,C.Richards,11,23,0,15,8,0.8,11,11.0,12.0,-4.0
460,2025-03-14T13:52:40.289700Z,29,IR,free agent,successful,,DEF,Mazraoui,C.Richards,6,22,0,15,7,0.7,6,7.0,15.0,-8.0
461,2025-03-14T12:04:19.069600Z,29,MN,waiver,unsuccessful - player in already been picked up,12.0,DEF,Murillo,Mykolenko,1,29,2,38,-9,-0.9,-1,0.0,29.0,-38.0
462,2025-03-13T01:30:57.135945Z,29,AC,waiver,unsuccessful - player in already been picked up,15.0,DEF,Murillo,James,1,29,2,32,-3,-0.3,-1,0.0,29.0,-32.0
463,2025-03-15T13:26:18.408828Z,29,TS,free agent,successful,,DEF,Rúben,James,1,47,2,32,15,1.5,-1,16.0,31.0,-16.0
464,2025-03-14T14:57:56.459677Z,29,AC,free agent,successful,,DEF,Colwill,James,1,38,2,32,6,0.6,-1,9.0,29.0,-23.0
465,2025-05-23T11:53:54.625444Z,38,LD,waiver,successful,10.0,DEF,Zabarnyi,Robertson,11,11,2,2,9,9.0,9,11.0,0.0,9.0
466,2024-08-16T07:35:24.559390Z,1,LD,free agent,successful,,MID,Bruno G.,Rodrigo,3,135,0,3,132,3.473684210526316,3,24.0,111.0,21.0
467,2024-12-31T16:39:59.408094Z,20,LD,waiver,unsuccessful - player out already gone,11.0,MID,Bruno G.,Bowen,6,73,0,103,-30,-1.5789473684210527,6,0.0,73.0,-103.0
468,2024-12-31T16:39:59.408036Z,20,LD,waiver,successful,7.0,MID,Amad,Bowen,9,58,0,103,-45,-2.3684210526315788,9,27.0,31.0,-76.0
469,2024-12-31T16:39:59.408079Z,20,LD,waiver,unsuccessful - player out already gone,10.0,MID,Joelinton,Bowen,1,31,0,103,-72,-3.789473684210526,1,0.0,31.0,-103.0
470,2025-01-03T10:38:22.079117Z,20,IR,waiver,unsuccessful - player out already gone,18.0,MID,Joelinton,Enzo,1,31,1,70,-39,-2.0526315789473686,0,0.0,31.0,-70.0
471,2025-01-03T10:38:22.079079Z,20,IR,waiver,successful,10.0,MID,Smith Rowe,Enzo,1,52,1,70,-18,-0.9473684210526315,0,1.0,51.0,-69.0
472,2025-01-03T10:38:22.079182Z,20,IR,waiver,unsuccessful - player out already gone,23.0,MID,Jones,Enzo,2,33,1,70,-37,-1.9473684210526316,1,0.0,33.0,-70.0
473,2025-01-03T10:38:22.079100Z,20,IR,waiver,unsuccessful - player out already gone,17.0,MID,Eze,Enzo,5,94,1,70,24,1.263157894736842,4,0.0,94.0,-70.0
474,2025-01-03T10:38:22.079134Z,20,IR,waiver,unsuccessful - player out already gone,19.0,MID,Merino,Enzo,4,61,1,70,-9,-0.47368421052631576,3,0.0,61.0,-70.0
475,2025-01-10T09:07:20.719515Z,21,MN,waiver,successful,4.0,MID,Bruno G.,I.Sarr,6,67,6,81,-14,-0.7777777777777778,0,19.0,48.0,-62.0
476,2025-01-24T08:03:01.034756Z,23,LD,waiver,successful,6.0,MID,Bruno G.,Diogo J.,2,52,0,28,24,1.5,2,19.0,33.0,-9.0
477,2025-03-13T13:05:41.627643Z,29,LD,waiver,unsuccessful - player in already been picked up,13.0,MID,Gibbs-White,Diogo J.,5,41,0,15,26,2.6,5,0.0,41.0,-15.0
478,2025-03-13T13:05:41.627704Z,29,LD,waiver,successful,18.0,MID,Damsgaard,Diogo J.,2,25,0,15,10,1.0,2,3.0,22.0,-12.0
479,2025-03-13T15:29:13.353624Z,29,CR,waiver,successful,2.0,MID,Gibbs-White,Maddison,5,41,1,16,25,2.5,4,40.0,1.0,24.0
480,2025-03-14T12:01:53.996508Z,29,HC,waiver,unsuccessful - player in already been picked up,6.0,MID,Gibbs-White,Rashford,5,41,0,21,20,2.0,5,0.0,41.0,-21.0
481,2025-03-14T14:51:35.521223Z,29,HC,free agent,successful,,MID,Hudson-Odoi,Rashford,3,11,0,21,-10,-1.0,3,3.0,8.0,-18.0
482,2025-04-11T12:52:56.845719Z,32,LD,free agent,successful,,MID,Bruno G.,Enzo,10,27,2,29,-2,-0.2857142857142857,8,15.0,12.0,-14.0
483,2025-04-10T21:26:02.486798Z,32,AN,waiver,unsuccessful - player out already gone,8.0,MID,Bruno G.,Gordon,10,27,2,11,16,2.2857142857142856,8,0.0,27.0,-11.0
484,2025-04-10T21:26:02.486715Z,32,AN,waiver,successful,4.0,MID,Joelinton,Gordon,11,12,2,11,1,0.14285714285714285,9,11.0,1.0,0.0
485,2025-04-10T21:26:02.486831Z,32,AN,waiver,unsuccessful - player in already been picked up,9.0,MID,Trossard,Gordon,2,42,2,11,31,4.428571428571429,0,0.0,42.0,-11.0
486,2025-04-10T21:26:02.486862Z,32,AN,waiver,unsuccessful - player out already gone,10.0,MID,Tielemans,Gordon,6,27,2,11,16,2.2857142857142856,4,26.0,1.0,15.0
487,2025-04-10T21:26:02.486890Z,32,AN,waiver,unsuccessful - player out already gone,11.0,MID,Rice,Gordon,5,35,2,11,24,3.4285714285714284,3,0.0,35.0,-11.0
488,2025-02-21T17:05:51.197986Z,26,LD,free agent,successful,,MID,Szoboszlai,Bruno G.,13,57,2,47,10,0.7692307692307693,11,13.0,44.0,-34.0
489,2025-05-09T04:57:06.586749Z,36,LD,waiver,successful,11.0,MID,Doku,Bruno G.,1,5,7,11,-6,-2.0,-6,2.0,3.0,-9.0
490,2025-04-17T15:51:25.576769Z,33,HC,waiver,successful,1.0,MID,Martinelli,Maddison,10,24,0,4,20,3.3333333333333335,10,10.0,14.0,6.0
491,2024-08-29T17:08:35.234508Z,3,LD,waiver,successful,5.0,MID,Madueke,Bruno G.,2,100,1,130,-30,-0.8333333333333334,1,57.0,43.0,-73.0
492,2024-08-29T17:08:35.234599Z,3,LD,waiver,unsuccessful - player out already gone,15.0,MID,Trossard,Bruno G.,1,144,1,130,14,0.3888888888888889,0,0.0,144.0,-130.0
493,2024-08-27T08:22:01.669268Z,3,MN,waiver,successful,4.0,MID,Smith Rowe,Bruno G.,2,101,1,130,-29,-0.8055555555555556,1,35.0,66.0,-95.0
494,2024-08-30T05:39:01.576877Z,3,CR,waiver,unsuccessful - player in already been picked up,8.0,MID,Madueke,Bailey,2,100,1,44,56,1.5555555555555556,1,0.0,100.0,-44.0
495,2024-08-30T05:39:01.576900Z,3,CR,waiver,successful,9.0,MID,Semenyo,Bailey,6,152,1,44,108,3.0,5,32.0,120.0,-12.0
496,2024-08-28T17:15:38.739582Z,3,AN,waiver,successful,7.0,MID,Madueke,Kudus,2,100,2,101,-1,-0.027777777777777776,0,17.0,83.0,-84.0
497,2024-08-30T05:39:01.576919Z,3,CR,waiver,unsuccessful - player in already been picked up,13.0,MID,Semenyo,Kudus,6,152,2,101,51,1.4166666666666667,4,32.0,120.0,-69.0
498,2024-08-30T05:39:01.576821Z,3,CR,waiver,successful,3.0,MID,Souček,Kudus,1,113,2,101,12,0.3333333333333333,-1,0.0,113.0,-101.0
499,2024-08-28T17:15:38.739641Z,3,AN,waiver,unsuccessful - player out already gone,12.0,MID,Amad,Kudus,1,120,2,101,19,0.5277777777777778,-1,0.0,120.0,-101.0
500,2024-08-30T09:34:03.471731Z,3,BP,waiver,unsuccessful - player in already been picked up,8.0,MID,Madueke,Johnson,2,100,4,132,-32,-0.8888888888888888,-2,0.0,100.0,-132.0
501,2025-04-15T09:30:21.791346Z,33,LB,waiver,unsuccessful - player in already been picked up,8.0,MID,Rice,Szoboszlai,8,30,3,27,3,0.5,5,0.0,30.0,-27.0
502,2025-04-15T09:30:21.791368Z,33,LB,waiver,successful,9.0,MID,McGinn,Szoboszlai,3,16,3,27,-11,-1.8333333333333333,0,3.0,13.0,-24.0
503,2025-04-03T08:02:02.808485Z,31,LD,waiver,successful,11.0,MID,Szoboszlai,Iwobi,1,29,13,35,-6,-0.75,-12,1.0,28.0,-34.0
504,2025-03-28T13:16:22.511445Z,30,LD,waiver,unsuccessful - player in already been picked up,8.0,MID,I.Sarr,Iwobi,2,36,1,36,0,0.0,1,0.0,36.0,-36.0
505,2025-03-31T14:45:29.268199Z,30,LB,waiver,successful,15.0,MID,Tonali,Iwobi,10,50,1,36,14,1.5555555555555556,9,30.0,20.0,-6.0
506,2025-03-31T16:52:53.591467Z,30,TS,waiver,successful,3.0,MID,I.Sarr,Savinho,2,36,9,15,21,2.3333333333333335,-7,22.0,14.0,7.0
507,2025-03-31T16:52:53.591490Z,30,TS,waiver,unsuccessful - player out already gone,11.0,MID,Rogers,Savinho,10,48,9,15,33,3.6666666666666665,1,48.0,0.0,33.0
508,2025-03-31T16:52:53.591620Z,30,TS,waiver,unsuccessful - player out already gone,20.0,MID,Kulusevski,Savinho,0,7,9,15,-8,-0.8888888888888888,-9,0.0,7.0,-15.0
509,2025-04-04T13:57:51.064330Z,31,LD,free agent,successful,,MID,Enzo,Neto,2,31,1,33,-2,-0.25,1,0.0,31.0,-33.0
510,2025-04-04T18:12:19.344582Z,31,AN,free agent,successful,,MID,Ødegaard,Neto,1,38,1,33,5,0.625,0,12.0,26.0,-21.0
511,2025-03-28T13:16:22.511500Z,30,LD,waiver,successful,9.0,MID,Doku,Johnson,3,21,0,29,-8,-0.8888888888888888,3,6.0,15.0,-23.0
512,2025-05-09T04:57:06.586731Z,36,LD,waiver,successful,8.0,MID,Matheus N.,Johnson,0,11,0,3,8,2.6666666666666665,0,0.0,11.0,-3.0
513,2024-12-28T04:16:11.135893Z,19,LD,waiver,unsuccessful - player in already been picked up,4.0,DEF,Aina,Estupiñan,8,47,0,37,10,0.5,8,0.0,47.0,-37.0
514,2024-12-28T04:15:01.344322Z,19,CR,waiver,unsuccessful - player in already been picked up,6.0,DEF,Aina,Guéhi,8,47,0,63,-16,-0.8,8,0.0,47.0,-63.0
515,2024-12-28T13:11:14.999741Z,19,CR,free agent,successful,,DEF,Muñoz,Guéhi,2,85,0,63,22,1.1,2,62.0,23.0,-1.0
516,2024-12-28T11:38:55.592594Z,19,HC,waiver,successful,1.0,DEF,Aina,Dalot,8,47,1,42,5,0.25,7,34.0,13.0,-8.0
517,2024-12-31T16:39:59.407973Z,20,LD,waiver,successful,4.0,DEF,N.Williams,Estupiñan,6,64,2,37,27,1.4210526315789473,4,3.0,61.0,-34.0
518,2024-12-31T16:39:59.408018Z,20,LD,waiver,unsuccessful - player out already gone,6.0,DEF,Young,Estupiñan,2,30,2,37,-7,-0.3684210526315789,0,0.0,30.0,-37.0
519,2025-01-03T10:49:15.172475Z,20,PV,waiver,unsuccessful - player out already gone,11.0,DEF,N.Williams,Gusto,6,64,2,33,31,1.631578947368421,4,0.0,64.0,-33.0
520,2025-01-03T10:49:15.172397Z,20,PV,waiver,successful,4.0,DEF,Burn,Gusto,1,58,2,33,25,1.3157894736842106,-1,8.0,50.0,-25.0
521,2025-04-11T12:49:54.315120Z,32,LD,free agent,successful,,DEF,James,Guéhi,0,20,-2,14,6,0.8571428571428571,2,0.0,20.0,-14.0
522,2025-03-13T13:05:41.627722Z,29,LD,waiver,unsuccessful - player in already been picked up,22.0,DEF,Pedro Porro,Guéhi,0,5,0,15,-10,-1.0,0,0.0,5.0,-15.0
523,2025-03-13T13:05:41.627684Z,29,LD,waiver,successful,15.0,DEF,Pedro Porro,Gusto,0,5,1,20,-15,-1.5,-1,0.0,5.0,-20.0
524,2025-03-13T13:05:41.627665Z,29,LD,waiver,unsuccessful - player in already been picked up,14.0,DEF,N.Williams,Gusto,1,26,1,20,6,0.6,0,0.0,26.0,-20.0
525,2024-10-28T13:13:57.590425Z,10,LD,waiver,successful,6.0,DEF,Aït-Nouri,Van de Ven,1,96,0,5,91,3.1379310344827585,1,9.0,87.0,4.0
526,2025-04-18T05:09:28.662050Z,33,LD,waiver,successful,12.0,DEF,Lewis,James,0,7,1,20,-13,-2.1666666666666665,-1,0.0,7.0,-20.0
527,2025-04-25T07:57:38.706325Z,34,LD,waiver,unsuccessful - player in already been picked up,9.0,MID,Barnes,Rice,3,12,0,22,-10,-2.0,3,0.0,12.0,-22.0
528,2025-04-25T11:08:32.599817Z,34,LD,free agent,successful,,MID,Hudson-Odoi,Rice,1,3,0,22,-19,-3.8,1,1.0,2.0,-21.0
529,2025-04-25T10:12:52.172903Z,34,IR,free agent,successful,,MID,Joelinton,Rice,0,0,0,22,-22,-4.4,0,0.0,0.0,-22.0
530,2025-04-25T09:44:14.833849Z,34,CR,waiver,unsuccessful - player in already been picked up,24.0,MID,Barnes,Gibbs-White,3,12,1,28,-16,-3.2,2,0.0,12.0,-28.0
531,2025-03-14T18:01:58.873577Z,29,LD,free agent,successful,,MID,Iwobi,Szoboszlai,3,39,0,32,7,0.7,3,14.0,25.0,-18.0
532,2025-04-11T06:09:31.312673Z,32,LD,waiver,successful,6.0,MID,Son,Szoboszlai,0,3,1,28,-25,-3.5714285714285716,-1,0.0,3.0,-28.0
