league_code,date_added,gameweek,short_name,kind,result,index,priority,position,element_in,player_in,element_out,player_out,player_in_points_scored_in_week,player_out_points_scored_in_week,net_points_of_transfer_in_week,abs_net_trade,transfer_category
Prem,2026-03-11 20:14:05.483313+00:00,30,MN,waiver,unsuccessful - player out already gone,10.0,5.0,DEF,113,Van den Berg (1),38,Konsa (1),1,1,0,0,waiver - unsuccessful - player out already gone
Prem,2026-03-13 11:20:24.481422+00:00,30,TS,waiver,successful,13.0,4.0,GKP,139,Verbruggen (7),314,Leno (7),7,7,0,0,waiver - successful
Prem,2026-03-19 15:47:07.842566+00:00,31,TS,waiver,successful,4.0,1.0,DEF,477,Livramento (1),224,Cucurella (1),1,1,0,0,waiver - successful
Prem,2026-03-20 03:38:51.054909+00:00,31,LD,free agent,successful,,,MID,414,Foden (0),266,Eze (0),0,0,0,0,free agent - successful
Prem,2026-03-20 16:03:08.449176+00:00,31,LD,free agent,successful,,,DEF,261,Richards (0),720,Hincapie (0),0,0,0,0,free agent - successful
Prem,2026-04-09 16:35:23.721754+00:00,32,TS,waiver,successful,20.0,11.0,DEF,148,F.Kadıoğlu (6),370,Frimpong (6),6,6,0,0,waiver - successful
Prem,2026-04-09 16:57:03.027123+00:00,32,MN,waiver,successful,8.0,2.0,MID,26,Zubimendi (2),324,Iwobi (2),2,2,0,0,waiver - successful
Prem,2026-04-09 16:57:03.027222+00:00,32,MN,waiver,unsuccessful - player out already gone,24.0,8.0,MID,646,J.Gomes (2),324,Iwobi (2),2,2,0,0,waiver - unsuccessful - player out already gone
Prem,2026-04-17 07:32:23.284731+00:00,33,JP,waiver,unsuccessful - player in already been picked up,4.0,1.0,FWD,499,Isak (2),596,Solanke (2),2,2,0,0,waiver - unsuccessful - player in already been picked up
Prem,2026-04-17 10:50:08.159028+00:00,33,AN,free agent,successful,,,FWD,735,Kolo Muani (1),715,Woltemade (1),1,1,0,0,free agent - successful
Prem,2026-04-18 05:33:49.871422+00:00,33,AN,free agent,successful,,,DEF,226,Chalobah (2),230,Fofana (2),2,2,0,0,free agent - successful
Prem,2026-04-23 13:49:29.647455+00:00,34,TS,waiver,unsuccessful - player out already gone,25.0,8.0,DEF,694,Mukiele (0),224,Cucurella (0),0,0,0,0,waiver - unsuccessful - player out already gone
Prem,2026-04-23 13:49:29.647490+00:00,34,TS,waiver,successful,26.0,9.0,DEF,694,Mukiele (0),148,F.Kadıoğlu (0),0,0,0,0,waiver - successful
Prem,2026-04-23 13:49:29.647508+00:00,34,TS,waiver,unsuccessful - player in already been picked up,34.0,10.0,DEF,694,Mukiele (0),77,Hill (0),0,0,0,0,waiver - unsuccessful - player in already been picked up
Prem,2026-04-29 11:09:45.824872+00:00,35,TS,waiver,successful,21.0,6.0,FWD,525,Wood (1),733,Brobbey (1),1,1,0,0,waiver - successful
Prem,2026-05-01 08:30:48.212536+00:00,35,JP,free agent,successful,,,MID,350,Aaronson (1),267,Sarr (1),1,1,0,0,free agent - successful
Prem,2026-05-07 16:16:06.290896+00:00,36,LD,waiver,successful,7.0,2.0,FWD,100,Kroupi.Jr (2),817,Armstrong (2),2,2,0,0,waiver - successful
Prem,2026-05-08 06:51:59.584806+00:00,36,TS,waiver,successful,13.0,3.0,DEF,10,Lewis-Skelly (6),258,Mitchell (6),6,6,0,0,waiver - successful
Prem,2026-05-08 08:42:41.351473+00:00,36,MN,waiver,successful,2.0,1.0,DEF,36,Cash (1),38,Konsa (1),1,1,0,0,waiver - successful
Prem,2026-05-14 04:58:51.501094+00:00,37,AN,waiver,unsuccessful - player in already been picked up,11.0,5.0,DEF,476,Burn (1),440,Dalot (1),1,1,0,0,waiver - unsuccessful - player in already been picked up
Prem,2026-05-14 04:58:51.501108+00:00,37,AN,waiver,unsuccessful - player out already gone,12.0,6.0,DEF,293,O'Brien (0),11,White (0),0,0,0,0,waiver - unsuccessful - player out already gone
Prem,2026-05-14 14:36:39.667961+00:00,37,MN,waiver,successful,4.0,2.0,MID,390,Gravenberch (2),242,Dewsbury-Hall (2),2,2,0,0,waiver - successful
Prem,2026-05-14 14:36:39.667991+00:00,37,MN,waiver,successful,10.0,3.0,DEF,374,Konaté (0),343,Struijk (0),0,0,0,0,waiver - successful
