,element,short_name,index,pick,web_name,total_points,league_code,position
71,346,AN,80,3,Doku,88,Conf,MID
72,198,AN,89,5,Edouard,7,Conf,FWD
73,25,AN,94,3,Zinchenko,40,Conf,DEF
74,293,AN,103,5,Hermansen,63,Conf,GKP
75,348,PV,6,6,Foden,105,Conf,MID
76,401,PV,9,2,Isak,211,Conf,FWD
77,317,PV,20,6,Diogo J.,87,Conf,MID
78,99,PV,23,2,Mbeumo,236,Conf,MID
79,375,PV,34,6,Højlund,78,Conf,FWD
80,3,PV,37,2,Gabriel,117,Conf,DEF
81,339,PV,48,6,Virgil,143,Conf,DEF
82,16,PV,51,2,Rice,127,Conf,MID
83,310,PV,62,6,A.Becker,112,Conf,GKP
84,251,PV,65,2,Muniz,86,Conf,FWD
85,362,PV,76,6,Stones,29,Conf,DEF
86,550,PV,79,2,Hee Chan,37,Conf,MID
87,211,PV,90,6,Muñoz,142,Conf,DEF
88,593,PV,93,2,De Ligt,68,Conf,DEF
89,513,PV,104,6,Areola,69,Conf,GKP
90,345,BP,7,7,De Bruyne,114,Conf,MID
91,503,BP,8,1,Son,129,Conf,MID
92,108,BP,21,7,Toney,0,Conf,FWD
93,2,BP,22,1,G.Jesus,42,Conf,FWD
94,418,BP,35,7,Trippier,72,Conf,DEF
95,589,BP,36,1,Füllkrug,42,Conf,FWD
96,372,BP,49,7,Garnacho,106,Conf,MID
97,578,BP,50,1,Calafiori,39,Conf,DEF
98,248,BP,63,7,Leno,115,Conf,GKP
99,492,BP,64,1,Kulusevski,117,Conf,MID
100,163,BP,77,7,Cucurella,133,Conf,DEF
101,160,BP,78,1,Chilwell,13,Conf,DEF
102,369,BP,91,7,Dalot,95,Conf,DEF
103,491,BP,92,1,Johnson,137,Conf,MID
104,142,BP,105,7,Steele,9,Conf,GKP
