,id,total_points,gameweek,total_points_scored_after_gameweek
13237,432,6,20,91
13948,432,7,21,85
14672,432,2,22,78
15401,432,2,23,76
16137,432,13,24,74
16879,432,2,25,61
17638,432,2,26,59
18401,432,3,27,57
19165,432,3,28,54
19934,432,16,29,51
20703,432,11,30,35
21474,432,1,31,24
22246,432,1,32,23
23024,432,4,33,22
23803,432,2,34,18
24583,432,2,35,16
25364,432,7,36,14
26145,432,5,37,7
26926,432,2,38,2
431,433,2,1,154
1047,433,10,2,152
1675,433,1,3,142
2323,433,3,4,141
2982,433,-1,5,138
3643,433,0,6,139
4307,433,2,7,139
4973,433,0,8,137
5640,433,0,9,137
6310,433,3,10,137
6984,433,1,11,134
7662,433,0,12,133
8346,433,2,13,133
9036,433,1,14,131
9729,433,13,15,130
10422,433,8,16,117
11123,433,2,17,109
11824,433,6,18,107
12529,433,10,19,101
13238,433,8,20,91
13949,433,1,21,83
14673,433,5,22,82
15402,433,2,23,77
16138,433,16,24,75
16880,433,5,25,59
17639,433,5,26,54
18402,433,3,27,49
19166,433,5,28,46
19935,433,5,29,41
20704,433,3,30,36
21475,433,2,31,33
22247,433,2,32,31
23025,433,1,33,29
23804,433,1,34,28
24584,433,1,35,27
25365,433,13,36,26
26146,433,11,37,13
26927,433,2,38,2
432,434,3,1,103
1048,434,3,2,100
1676,434,2,3,97
2324,434,7,4,95
2983,434,4,5,88
3644,434,1,6,84
4308,434,2,7,83
4974,434,3,8,81
5641,434,2,9,78
6311,434,10,10,76
6985,434,1,11,66
7663,434,2,12,65
8347,434,3,13,63
9037,434,0,14,60
9730,434,5,15,60
10423,434,2,16,55
11124,434,3,17,53
11825,434,3,18,50
12530,434,0,19,47
13239,434,6,20,47
13950,434,2,21,41
14674,434,6,22,39
15403,434,0,23,33
16139,434,0,24,33
16881,434,1,25,33
17640,434,8,26,32
18403,434,3,27,24
19167,434,10,28,21
19936,434,3,29,11
20705,434,0,30,8
21476,434,2,31,8
22248,434,2,32,6
23026,434,1,33,4
23805,434,1,34,3
24585,434,0,35,2
25366,434,0,36,2
26147,434,1,37,2
26928,434,1,38,1
433,435,0,1,0
1049,435,0,2,0
1677,435,0,3,0
2325,435,0,4,0
2984,435,0,5,0
3645,435,0,6,0
4309,435,0,7,0
4975,435,0,8,0
5642,435,0,9,0
6312,435,0,10,0
6986,435,0,11,0
7664,435,0,12,0
8348,435,0,13,0
9038,435,0,14,0
9731,435,0,15,0
10424,435,0,16,0
11125,435,0,17,0
11826,435,0,18,0
12531,435,0,19,0
13240,435,0,20,0
13951,435,0,21,0
14675,435,0,22,0
15404,435,0,23,0
16140,435,0,24,0
16882,435,0,25,0
17641,435,0,26,0
18404,435,0,27,0
19168,435,0,28,0
19937,435,0,29,0
20706,435,0,30,0
21477,435,0,31,0
22249,435,0,32,0
23027,435,0,33,0
23806,435,0,34,0
24586,435,0,35,0
25367,435,0,36,0
26148,435,0,37,0
26929,435,0,38,0
434,436,2,1,130
1050,436,7,2,128
1678,436,2,3,121
2326,436,6,4,119
2985,436,1,5,113
3646,436,1,6,112
4310,436,2,7,111
4976,436,8,8,109
5643,436,2,9,101
6313,436,6,10,99
6987,436,7,11,93
7665,436,1,12,86
8349,436,7,13,85
9039,436,0,14,78
9732,436,1,15,78
10425,436,2,16,77
11126,436,5,17,75
11827,436,8,18,70
12532,436,0,19,62
13241,436,9,20,62
13952,436,3,21,53
14676,436,1,22,50
15405,436,0,23,49
16141,436,5,24,49
16883,436,1,25,44
17642,436,0,26,43
18405,436,6,27,43
19169,436,8,28,37
19938,436,1,29,29
20707,436,9,30,28
21478,436,1,31,19
22250,436,2,32,18
23028,436,2,33,16
23807,436,1,34,14
24587,436,10,35,13
25368,436,0,36,3
26149,436,1,37,3
26930,436,2,38,2
435,437,1,1,109
1051,437,6,2,108
1679,437,2,3,102
2327,437,1,4,100
2986,437,0,5,99
3647,437,1,6,99
4311,437,0,7,98
4977,437,1,8,98
5644,437,1,9,97
6314,437,0,10,96
6988,437,0,11,96
7666,437,1,12,96
8350,437,6,13,95
9040,437,0,14,89
9733,437,0,15,89
10426,437,2,16,89
11127,437,11,17,87
11828,437,6,18,76
12533,437,6,19,70
13242,437,6,20,64
13953,437,2,21,58
14677,437,1,22,56
15406,437,1,23,55
16142,437,12,24,54
16884,437,1,25,42
17643,437,0,26,41
18406,437,9,27,41
19170,437,6,28,32
19939,437,1,29,26
20708,437,5,30,25
21479,437,4,31,20
22251,437,2,32,16
23029,437,2,33,14
23808,437,0,34,12
24588,437,5,35,12
25369,437,1,36,7
26150,437,4,37,6
26931,437,2,38,2
436,438,0,1,0
1052,438,0,2,0
1680,438,0,3,0
2328,438,0,4,0
2987,438,0,5,0
3648,438,0,6,0
4312,438,0,7,0
4978,438,0,8,0
5645,438,0,9,0
6315,438,0,10,0
6989,438,0,11,0
7667,438,0,12,0
8351,438,0,13,0
9041,438,0,14,0
9734,438,0,15,0
10427,438,0,16,0
11128,438,0,17,0
11829,438,0,18,0
12534,438,0,19,0
13243,438,0,20,0
13954,438,0,21,0
14678,438,0,22,0
15407,438,0,23,0
16143,438,0,24,0
16885,438,0,25,0
17644,438,0,26,0
18407,438,0,27,0
19171,438,0,28,0
19940,438,0,29,0
20709,438,0,30,0
21480,438,0,31,0
22252,438,0,32,0
23030,438,0,33,0
23809,438,0,34,0
24589,438,0,35,0
25370,438,0,36,0
26151,438,0,37,0
26932,438,0,38,0
437,439,0,1,0
1053,439,0,2,0
1681,439,0,3,0
2329,439,0,4,0
2988,439,0,5,0
3649,439,0,6,0
4313,439,0,7,0
4979,439,0,8,0
5646,439,0,9,0
6316,439,0,10,0
6990,439,0,11,0
7668,439,0,12,0
8352,439,0,13,0
9042,439,0,14,0
9735,439,0,15,0
10428,439,0,16,0
11129,439,0,17,0
11830,439,0,18,0
12535,439,0,19,0
13244,439,0,20,0
13955,439,0,21,0
14679,439,0,22,0
15408,439,0,23,0
16144,439,0,24,0
16886,439,0,25,0
17645,439,0,26,0
18408,439,0,27,0
19172,439,0,28,0
19941,439,0,29,0
20710,439,0,30,0
21481,439,0,31,0
22253,439,0,32,0
23031,439,0,33,0
23810,439,0,34,0
24590,439,0,35,0
25371,439,0,36,0
26152,439,0,37,0
26933,439,0,38,0
438,440,0,1,0
1054,440,0,2,0
1682,440,0,3,0
2330,440,0,4,0
2989,440,0,5,0
3650,440,0,6,0
4314,440,0,7,0
4980,440,0,8,0
5647,440,0,9,0
6317,440,0,10,0
6991,440,0,11,0
7669,440,0,12,0
8353,440,0,13,0
9043,440,0,14,0
9736,440,0,15,0
10429,440,0,16,0
11130,440,0,17,0
11831,440,0,18,0
12536,440,0,19,0
13245,440,0,20,0
13956,440,0,21,0
14680,440,0,22,0
15409,440,0,23,0
16145,440,0,24,0
16887,440,0,25,0
17646,440,0,26,0
18409,440,0,27,0
19173,440,0,28,0
19942,440,0,29,0
20711,440,0,30,0
21482,440,0,31,0
22254,440,0,32,0
23032,440,0,33,0
23811,440,0,34,0
24591,440,0,35,0
25372,440,0,36,0
26153,440,0,37,0
26934,440,0,38,0
439,441,0,1,0
1055,441,0,2,0
1683,441,0,3,0
2331,441,0,4,0
2990,441,0,5,0
3651,441,0,6,0
4315,441,0,7,0
4981,441,0,8,0
5648,441,0,9,0
6318,441,0,10,0
6992,441,0,11,0
7670,441,0,12,0
8354,441,0,13,0
9044,441,0,14,0
9737,441,0,15,0
10430,441,0,16,0
11131,441,0,17,0
11832,441,0,18,0
12537,441,0,19,0
13246,441,0,20,0
13957,441,0,21,0
14681,441,0,22,0
15410,441,0,23,0
16146,441,0,24,0
16888,441,0,25,0
17647,441,0,26,0
18410,441,0,27,0
19174,441,0,28,0
19943,441,0,29,0
20712,441,0,30,0
21483,441,0,31,0
22255,441,0,32,0
23033,441,0,33,0
23812,441,0,34,0
24592,441,0,35,0
25373,441,0,36,0
26154,441,0,37,0
26935,441,0,38,0
440,442,2,1,20
1056,442,2,2,18
1684,442,0,3,16
2332,442,0,4,16
2991,442,0,5,16
3652,442,0,6,16
4316,442,0,7,16
4982,442,0,8,16
5649,442,0,9,16
6319,442,0,10,16
6993,442,0,11,16
7671,442,0,12,16
8355,442,0,13,16
9045,442,0,14,16
9738,442,0,15,16
10431,442,0,16,16
11132,442,0,17,16
11833,442,0,18,16
12538,442,0,19,16
13247,442,0,20,16
13958,442,0,21,16
14682,442,0,22,16
15411,442,0,23,16
16147,442,4,24,16
16889,442,1,25,12
17648,442,1,26,11
18411,442,0,27,10
19175,442,1,28,10
19944,442,0,29,9
20713,442,1,30,9
21484,442,0,31,8
22256,442,0,32,8
23034,442,0,33,8
23813,442,1,34,8
24593,442,1,35,7
25374,442,2,36,6
26155,442,3,37,4
26936,442,1,38,1
441,443,3,1,150
1057,443,6,2,147
1685,443,2,3,141
2333,443,9,4,139
2992,443,1,5,130
3653,443,2,6,129
4317,443,3,7,127
4983,443,11,8,124
5650,443,5,9,113
6320,443,6,10,108
6994,443,2,11,102
7672,443,2,12,100
8356,443,6,13,98
9046,443,2,14,92
9739,443,2,15,90
10432,443,2,16,88
11133,443,7,17,86
11834,443,8,18,79
12539,443,6,19,71
13248,443,9,20,65
13959,443,3,21,56
14683,443,1,22,53
15412,443,1,23,52
16148,443,8,24,51
16890,443,3,25,43
17649,443,0,26,40
18412,443,6,27,40
19176,443,8,28,34
19945,443,1,29,26
20714,443,8,30,25
21485,443,3,31,17
22257,443,3,32,14
23035,443,2,33,11
23814,443,1,34,9
24594,443,1,35,8
25375,443,2,36,7
26156,443,3,37,5
26937,443,2,38,2
442,444,1,1,4
1058,444,0,2,3
1686,444,0,3,3
2334,444,0,4,3
2993,444,0,5,3
3654,444,0,6,3
4318,444,0,7,3
4984,444,0,8,3
5651,444,0,9,3
6321,444,0,10,3
6995,444,0,11,3
7673,444,0,12,3
8357,444,0,13,3
9047,444,0,14,3
9740,444,0,15,3
10433,444,0,16,3
11134,444,1,17,3
11835,444,0,18,2
12540,444,1,19,2
13249,444,0,20,1
13960,444,0,21,1
14684,444,0,22,1
15413,444,0,23,1
16149,444,0,24,1
16891,444,0,25,1
17650,444,0,26,1
18413,444,0,27,1
19177,444,0,28,1
19946,444,0,29,1
20715,444,0,30,1
21486,444,0,31,1
22258,444,0,32,1
23036,444,1,33,1
23815,444,0,34,0
24595,444,0,35,0
25376,444,0,36,0
26157,444,0,37,0
26938,444,0,38,0
443,445,0,1,0
1059,445,0,2,0
1687,445,0,3,0
2335,445,0,4,0
2994,445,0,5,0
3655,445,0,6,0
4319,445,0,7,0
4985,445,0,8,0
5652,445,0,9,0
6322,445,0,10,0
6996,445,0,11,0
7674,445,0,12,0
8358,445,0,13,0
9048,445,0,14,0
9741,445,0,15,0
10434,445,0,16,0
11135,445,0,17,0
11836,445,0,18,0
12541,445,0,19,0
13250,445,0,20,0
13961,445,0,21,0
14685,445,0,22,0
15414,445,0,23,0
16150,445,0,24,0
16892,445,0,25,0
17651,445,0,26,0
18414,445,0,27,0
19178,445,0,28,0
19947,445,0,29,0
20716,445,0,30,0
21487,445,0,31,0
22259,445,0,32,0
23037,445,0,33,0
23816,445,0,34,0
24596,445,0,35,0
25377,445,0,36,0
26158,445,0,37,0
26939,445,0,38,0
444,446,0,1,0
1060,446,0,2,0
1688,446,0,3,0
2336,446,0,4,0
2995,446,0,5,0
3656,446,0,6,0
4320,446,0,7,0
4986,446,0,8,0
5653,446,0,9,0
6323,446,0,10,0
6997,446,0,11,0
7675,446,0,12,0
8359,446,0,13,0
9049,446,0,14,0
9742,446,0,15,0
10435,446,0,16,0
11136,446,0,17,0
11837,446,0,18,0
12542,446,0,19,0
13251,446,0,20,0
13962,446,0,21,0
14686,446,0,22,0
15415,446,0,23,0
16151,446,0,24,0
16893,446,0,25,0
17652,446,0,26,0
18415,446,0,27,0
19179,446,0,28,0
19948,446,0,29,0
20717,446,0,30,0
21488,446,0,31,0
22260,446,0,32,0
23038,446,0,33,0
23817,446,0,34,0
24597,446,0,35,0
25378,446,0,36,0
26159,446,0,37,0
26940,446,0,38,0
445,447,9,1,200
1061,447,1,2,191
1689,447,9,3,190
2337,447,2,4,181
2996,447,8,5,179
3657,447,2,6,171
4321,447,8,7,169
4987,447,7,8,161
5654,447,13,9,154
6324,447,7,10,141
6998,447,2,11,134
7676,447,1,12,132
8360,447,9,13,131
9050,447,2,14,122
9743,447,8,15,120
10436,447,2,16,112
11137,447,2,17,110
11838,447,2,18,108
12543,447,12,19,106
13252,447,8,20,94
13963,447,9,21,86
14687,447,12,22,77
15416,447,2,23,65
16152,447,17,24,63
16894,447,9,25,46
17653,447,5,26,37
18416,447,2,27,32
19180,447,2,28,30
19949,447,2,29,28
20718,447,0,30,26
21489,447,0,31,26
22261,447,2,32,26
23039,447,8,33,24
23818,447,2,34,16
24598,447,2,35,14
25379,447,8,36,12
26160,447,2,37,4
26941,447,2,38,2
446,448,0,1,0
1062,448,0,2,0
1690,448,0,3,0
2338,448,0,4,0
2997,448,0,5,0
3658,448,0,6,0
4322,448,0,7,0
4988,448,0,8,0
5655,448,0,9,0
6325,448,0,10,0
6999,448,0,11,0
7677,448,0,12,0
8361,448,0,13,0
9051,448,0,14,0
9744,448,0,15,0
10437,448,0,16,0
11138,448,0,17,0
11839,448,0,18,0
12544,448,0,19,0
13253,448,0,20,0
13964,448,0,21,0
14688,448,0,22,0
15417,448,0,23,0
16153,448,0,24,0
16895,448,0,25,0
17654,448,0,26,0
18417,448,0,27,0
19181,448,0,28,0
19950,448,0,29,0
20719,448,0,30,0
21490,448,0,31,0
22262,448,0,32,0
23040,448,0,33,0
23819,448,0,34,0
24599,448,0,35,0
25380,448,0,36,0
26161,448,0,37,0
26942,448,0,38,0
447,449,7,1,67
1063,449,1,2,60
1691,449,1,3,59
2339,449,2,4,58
2998,449,1,5,56
3659,449,1,6,55
4323,449,2,7,54
4989,449,3,8,52
5656,449,8,9,49
6326,449,3,10,41
7000,449,1,11,38
7678,449,1,12,37
8362,449,3,13,36
9052,449,1,14,33
9745,449,2,15,32
10438,449,2,16,30
11139,449,1,17,28
11840,449,2,18,27
12545,449,0,19,25
13254,449,1,20,25
13965,449,1,21,24
14689,449,1,22,23
15418,449,1,23,22
16154,449,0,24,21
16896,449,0,25,21
17655,449,5,26,21
18418,449,1,27,16
19182,449,0,28,15
19951,449,1,29,15
20720,449,6,30,14
21491,449,2,31,8
22263,449,1,32,6
23041,449,0,33,5
23820,449,2,34,5
24600,449,0,35,3
25381,449,1,36,3
26162,449,1,37,2
26943,449,1,38,1
448,450,1,1,44
1064,450,0,2,43
1692,450,0,3,43
2340,450,0,4,43
2999,450,0,5,43
3660,450,0,6,43
4324,450,0,7,43
4990,450,0,8,43
5657,450,0,9,43
6327,450,0,10,43
7001,450,0,11,43
7679,450,0,12,43
8363,450,0,13,43
9053,450,0,14,43
9746,450,0,15,43
10439,450,0,16,43
11140,450,0,17,43
11841,450,0,18,43
12546,450,0,19,43
13255,450,0,20,43
13966,450,0,21,43
14690,450,0,22,43
15419,450,0,23,43
16446,450,1,24,43
16897,450,13,25,42
17656,450,1,26,29
18419,450,1,27,28
19183,450,0,28,27
19952,450,2,29,27
20721,450,2,30,25
21492,450,0,31,23
22264,450,1,32,23
23042,450,1,33,22
23821,450,1,34,21
24601,450,4,35,20
25382,450,5,36,16
26163,450,1,37,11
26944,450,10,38,10
449,451,1,1,1
1065,451,0,2,0
1693,451,0,3,0
2341,451,0,4,0
3000,451,0,5,0
3661,451,0,6,0
4325,451,0,7,0
4991,451,0,8,0
5658,451,0,9,0
6328,451,0,10,0
7002,451,0,11,0
7680,451,0,12,0
8364,451,0,13,0
9054,451,0,14,0
9747,451,0,15,0
10440,451,0,16,0
11141,451,0,17,0
11842,451,0,18,0
12547,451,0,19,0
13256,451,0,20,0
13967,451,0,21,0
14691,451,0,22,0
15420,451,0,23,0
16155,451,0,24,0
16898,451,0,25,0
17657,451,0,26,0
18420,451,0,27,0
19184,451,0,28,0
19953,451,0,29,0
20722,451,0,30,0
21493,451,0,31,0
22265,451,0,32,0
23043,451,0,33,0
23822,451,0,34,0
24602,451,0,35,0
25383,451,0,36,0
26164,451,0,37,0
26945,451,0,38,0
450,452,2,1,72
1066,452,2,2,70
1694,452,2,3,68
2342,452,0,4,66
3001,452,1,5,66
3662,452,1,6,65
4326,452,2,7,64
4992,452,9,8,62
5659,452,1,9,53
6329,452,1,10,52
7003,452,2,11,51
7681,452,1,12,49
8365,452,1,13,48
9055,452,8,14,47
9748,452,1,15,39
10441,452,2,16,38
11142,452,1,17,36
11843,452,1,18,35
12548,452,1,19,34
13257,452,2,20,33
13968,452,3,21,31
14692,452,1,22,28
15421,452,2,23,27
16156,452,10,24,25
16899,452,3,25,15
17658,452,2,26,12
18421,452,2,27,10
19185,452,1,28,8
19954,452,2,29,7
20723,452,1,30,5
21494,452,2,31,4
22266,452,0,32,2
23044,452,0,33,2
23823,452,0,34,2
24603,452,0,35,2
25384,452,1,36,2
26165,452,1,37,1
26946,452,0,38,0
451,453,2,1,45
1067,453,1,2,43
1695,453,1,3,42
2343,453,0,4,41
3002,453,1,5,41
3663,453,0,6,40
4327,453,1,7,40
4993,453,0,8,39
5660,453,0,9,39
6330,453,7,10,39
7004,453,2,11,32
7682,453,7,12,30
8366,453,5,13,23
9056,453,1,14,18
9749,453,2,15,17
10442,453,2,16,15
11143,453,2,17,13
11844,453,2,18,11
12549,453,5,19,9
13258,453,1,20,4
13969,453,1,21,3
14693,453,1,22,2
15422,453,1,23,1
16157,453,0,24,0
16900,453,0,25,0
17659,453,0,26,0
18422,453,0,27,0
19186,453,0,28,0
19955,453,0,29,0
20724,453,0,30,0
21495,453,0,31,0
22267,453,0,32,0
23045,453,0,33,0
23824,453,0,34,0
24604,453,0,35,0
25385,453,0,36,0
26166,453,0,37,0
26947,453,0,38,0
452,454,0,1,0
1068,454,0,2,0
1696,454,0,3,0
2344,454,0,4,0
3003,454,0,5,0
3664,454,0,6,0
4328,454,0,7,0
4994,454,0,8,0
5661,454,0,9,0
6331,454,0,10,0
7005,454,0,11,0
7683,454,0,12,0
8367,454,0,13,0
9057,454,0,14,0
9750,454,0,15,0
10443,454,0,16,0
11144,454,0,17,0
11845,454,0,18,0
12550,454,0,19,0
13259,454,0,20,0
13970,454,0,21,0
14694,454,0,22,0
15423,454,0,23,0
16158,454,0,24,0
16901,454,0,25,0
17660,454,0,26,0
18423,454,0,27,0
19187,454,0,28,0
19956,454,0,29,0
20725,454,0,30,0
21496,454,0,31,0
22268,454,0,32,0
23046,454,0,33,0
23825,454,0,34,0
24605,454,0,35,0
25386,454,0,36,0
26167,454,0,37,0
26948,454,0,38,0
453,455,2,1,60
1069,455,1,2,58
1697,455,1,3,57
2345,455,1,4,56
3004,455,2,5,55
3665,455,1,6,53
4329,455,0,7,52
4995,455,1,8,52
5662,455,2,9,51
6332,455,5,10,49
7006,455,1,11,44
7684,455,0,12,43
8368,455,0,13,43
9058,455,0,14,43
9751,455,0,15,43
10444,455,0,16,43
11145,455,8,17,43
11846,455,2,18,35
12551,455,0,19,33
13260,455,0,20,33
13971,455,2,21,33
14695,455,7,22,31
15424,455,7,23,24
16159,455,1,24,17
16902,455,1,25,16
17661,455,1,26,15
18424,455,0,27,14
19188,455,1,28,14
19957,455,0,29,13
20726,455,1,30,13
21497,455,1,31,12
22269,455,0,32,11
23047,455,2,33,11
23826,455,1,34,9
24606,455,1,35,8
25387,455,7,36,7
26168,455,0,37,0
26949,455,0,38,0
454,456,0,1,2
1070,456,0,2,2
1698,456,0,3,2
2346,456,0,4,2
3005,456,0,5,2
3666,456,0,6,2
4330,456,0,7,2
4996,456,0,8,2
5663,456,0,9,2
6333,456,0,10,2
7007,456,0,11,2
7685,456,0,12,2
8369,456,0,13,2
9059,456,0,14,2
9752,456,0,15,2
10445,456,0,16,2
11146,456,0,17,2
11847,456,0,18,2
12552,456,0,19,2
13261,456,0,20,2
13972,456,0,21,2
14696,456,0,22,2
15425,456,0,23,2
16160,456,0,24,2
16903,456,0,25,2
17662,456,0,26,2
18425,456,0,27,2
19189,456,1,28,2
19958,456,1,29,1
20727,456,0,30,0
21498,456,0,31,0
22270,456,0,32,0
23048,456,0,33,0
23827,456,0,34,0
24607,456,0,35,0
25388,456,0,36,0
26169,456,0,37,0
26950,456,0,38,0
455,457,0,1,23
1071,457,0,2,23
1699,457,0,3,23
2347,457,0,4,23
3006,457,0,5,23
3667,457,0,6,23
4331,457,0,7,23
4997,457,0,8,23
5664,457,1,9,23
6334,457,0,10,22
7008,457,0,11,22
7686,457,0,12,22
8370,457,0,13,22
9060,457,0,14,22
9753,457,1,15,22
10446,457,0,16,21
11147,457,1,17,21
11848,457,1,18,20
12553,457,1,19,19
13262,457,1,20,18
13973,457,1,21,17
14697,457,1,22,16
15426,457,4,23,15
16161,457,2,24,11
16904,457,1,25,9
17663,457,0,26,8
18426,457,0,27,8
19190,457,0,28,8
19959,457,0,29,8
20728,457,0,30,8
21499,457,0,31,8
22271,457,0,32,8
23049,457,0,33,8
23828,457,1,34,8
24608,457,0,35,7
25389,457,6,36,7
26170,457,1,37,1
26951,457,0,38,0
456,458,0,1,0
1072,458,0,2,0
1700,458,0,3,0
2348,458,0,4,0
3007,458,0,5,0
3668,458,0,6,0
4332,458,0,7,0
4998,458,0,8,0
5665,458,0,9,0
6335,458,0,10,0
7009,458,0,11,0
7687,458,0,12,0
8371,458,0,13,0
9061,458,0,14,0
9754,458,0,15,0
10447,458,0,16,0
11148,458,0,17,0
11849,458,0,18,0
12554,458,0,19,0
13263,458,0,20,0
13974,458,0,21,0
14698,458,0,22,0
15427,458,0,23,0
16162,458,0,24,0
16905,458,0,25,0
17664,458,0,26,0
18427,458,0,27,0
19191,458,0,28,0
19960,458,0,29,0
20729,458,0,30,0
21500,458,0,31,0
22272,458,0,32,0
23050,458,0,33,0
23829,458,0,34,0
24609,458,0,35,0
25390,458,0,36,0
26171,458,0,37,0
26952,458,0,38,0
457,459,0,1,1
1073,459,1,2,1
1701,459,0,3,0
2349,459,0,4,0
3008,459,0,5,0
3669,459,0,6,0
4333,459,0,7,0
4999,459,0,8,0
5666,459,0,9,0
6336,459,0,10,0
7010,459,0,11,0
7688,459,0,12,0
8372,459,0,13,0
9062,459,0,14,0
9755,459,0,15,0
10448,459,0,16,0
11149,459,0,17,0
11850,459,0,18,0
12555,459,0,19,0
13264,459,0,20,0
13975,459,0,21,0
14699,459,0,22,0
15428,459,0,23,0
16163,459,0,24,0
16906,459,0,25,0
17665,459,0,26,0
18428,459,0,27,0
19192,459,0,28,0
19961,459,0,29,0
20730,459,0,30,0
21501,459,0,31,0
22273,459,0,32,0
23051,459,0,33,0
23830,459,0,34,0
24610,459,0,35,0
25391,459,0,36,0
26172,459,0,37,0
26953,459,0,38,0
458,460,0,1,1
1074,460,0,2,1
1702,460,0,3,1
2350,460,0,4,1
3009,460,0,5,1
3670,460,0,6,1
4334,460,0,7,1
5000,460,0,8,1
5667,460,0,9,1
6337,460,0,10,1
7011,460,0,11,1
7689,460,0,12,1
8373,460,0,13,1
9063,460,1,14,1
9756,460,0,15,0
10449,460,0,16,0
11150,460,0,17,0
11851,460,0,18,0
12556,460,0,19,0
13265,460,0,20,0
13976,460,0,21,0
14700,460,0,22,0
15429,460,0,23,0
16164,460,0,24,0
16907,460,0,25,0
17666,460,0,26,0
18429,460,0,27,0
19193,460,0,28,0
19962,460,0,29,0
20731,460,0,30,0
21502,460,0,31,0
22274,460,0,32,0
23052,460,0,33,0
23831,460,0,34,0
24611,460,0,35,0
25392,460,0,36,0
26173,460,0,37,0
26954,460,0,38,0
459,461,1,1,55
1075,461,2,2,54
1703,461,0,3,52
2351,461,1,4,52
3010,461,2,5,51
3671,461,7,6,49
4335,461,1,7,42
5001,461,0,8,41
5668,461,2,9,41
6338,461,6,10,39
7012,461,0,11,33
7690,461,1,12,33
8374,461,1,13,32
9064,461,0,14,31
9757,461,2,15,31
10450,461,0,16,29
11151,461,8,17,29
11852,461,2,18,21
12557,461,0,19,19
13266,461,-1,20,19
13977,461,1,21,20
14701,461,1,22,19
15430,461,1,23,18
16165,461,1,24,17
16908,461,0,25,16
17667,461,0,26,16
18430,461,1,27,16
19194,461,1,28,15
19963,461,1,29,14
20732,461,2,30,13
21503,461,1,31,11
22275,461,0,32,10
23053,461,2,33,10
23832,461,1,34,8
24612,461,0,35,7
25393,461,6,36,7
26174,461,1,37,1
26955,461,0,38,0
460,462,0,1,53
1076,462,0,2,53
1704,462,0,3,53
2352,462,0,4,53
3011,462,0,5,53
3672,462,0,6,53
4336,462,0,7,53
5002,462,1,8,53
5669,462,1,9,52
6339,462,0,10,51
7013,462,0,11,51
7691,462,0,12,51
8375,462,1,13,51
9065,462,1,14,50
9758,462,1,15,49
10451,462,1,16,48
11152,462,0,17,47
11853,462,1,18,47
12558,462,1,19,46
13267,462,1,20,45
13978,462,2,21,44
14702,462,1,22,42
15431,462,0,23,41
16166,462,4,24,41
16909,462,9,25,37
17668,462,2,26,28
18431,462,2,27,26
19195,462,2,28,24
19964,462,2,29,22
20733,462,3,30,20
21504,462,5,31,17
22276,462,3,32,12
23054,462,2,33,9
23833,462,1,34,7
24613,462,0,35,6
25394,462,3,36,6
26175,462,1,37,3
26956,462,2,38,2
461,463,0,1,17
1077,463,0,2,17
1705,463,4,3,17
2353,463,1,4,13
3012,463,4,5,12
3673,463,0,6,8
4337,463,0,7,8
5003,463,0,8,8
5670,463,0,9,8
6340,463,1,10,8
7014,463,1,11,7
7692,463,0,12,6
8376,463,0,13,6
9066,463,0,14,6
9759,463,0,15,6
10452,463,0,16,6
11153,463,0,17,6
11854,463,1,18,6
12559,463,1,19,5
13268,463,1,20,4
13979,463,0,21,3
14703,463,0,22,3
15432,463,1,23,3
16167,463,1,24,2
16910,463,0,25,1
17669,463,0,26,1
18432,463,0,27,1
19196,463,1,28,1
19965,463,0,29,0
20734,463,0,30,0
21505,463,0,31,0
22277,463,0,32,0
23055,463,0,33,0
23834,463,0,34,0
24614,463,0,35,0
25395,463,0,36,0
26176,463,0,37,0
26957,463,0,38,0
462,464,0,1,0
1078,464,0,2,0
1706,464,0,3,0
2354,464,0,4,0
3013,464,0,5,0
3674,464,0,6,0
4338,464,0,7,0
5004,464,0,8,0
5671,464,0,9,0
6341,464,0,10,0
7015,464,0,11,0
7693,464,0,12,0
8377,464,0,13,0
9067,464,0,14,0
9760,464,0,15,0
10453,464,0,16,0
11154,464,0,17,0
11855,464,0,18,0
12560,464,0,19,0
13269,464,0,20,0
13980,464,0,21,0
14704,464,0,22,0
15433,464,0,23,0
16168,464,0,24,0
16911,464,0,25,0
17670,464,0,26,0
18433,464,0,27,0
19197,464,0,28,0
19966,464,0,29,0
20735,464,0,30,0
21506,464,0,31,0
22278,464,0,32,0
23056,464,0,33,0
23835,464,0,34,0
24615,464,0,35,0
25396,464,0,36,0
26177,464,0,37,0
26958,464,0,38,0
463,465,0,1,0
1079,465,0,2,0
1707,465,0,3,0
2355,465,0,4,0
3014,465,0,5,0
3675,465,0,6,0
4339,465,0,7,0
5005,465,0,8,0
5672,465,0,9,0
6342,465,0,10,0
7016,465,0,11,0
7694,465,0,12,0
8378,465,0,13,0
9068,465,0,14,0
9761,465,0,15,0
10454,465,0,16,0
11155,465,0,17,0
11856,465,0,18,0
12561,465,0,19,0
13270,465,0,20,0
13981,465,0,21,0
14705,465,0,22,0
15434,465,0,23,0
16169,465,0,24,0
16912,465,0,25,0
17671,465,0,26,0
18434,465,0,27,0
19198,465,0,28,0
19967,465,0,29,0
20736,465,0,30,0
21507,465,0,31,0
22279,465,0,32,0
23057,465,0,33,0
23836,465,0,34,0
24616,465,0,35,0
25397,465,0,36,0
26178,465,0,37,0
26959,465,0,38,0
